datetime,date,hour,frequency_demand,frequency_price
2025/7/5 14:00,2025/7/5,14,793.95,3.817366667
2025/7/5 15:00,2025/7/5,15,800,5.283283333
2025/7/5 16:00,2025/7/5,16,784.7,5.049933333
2025/7/5 17:00,2025/7/5,17,811.725,3.189116667
2025/7/5 18:00,2025/7/5,18,549.8,21.15706667
2025/7/5 19:00,2025/7/5,19,508.9916667,13.82748333
2025/7/5 20:00,2025/7/5,20,525,6.073083333
2025/7/5 21:00,2025/7/5,21,524.975,3.9131
2025/7/5 22:00,2025/7/5,22,798.7,0
2025/7/5 23:00,2025/7/5,23,800,0
2025/7/6 0:00,2025/7/6,0,778.8333333,0
2025/7/6 1:00,2025/7/6,1,800,0
2025/7/6 2:00,2025/7/6,2,800,13.74371667
2025/7/6 3:00,2025/7/6,3,778.3333333,18.92528333
2025/7/6 4:00,2025/7/6,4,513.8,16.21483333
2025/7/6 5:00,2025/7/6,5,525,14.06681667
2025/7/6 6:00,2025/7/6,6,525.1,3.32075
2025/7/6 7:00,2025/7/6,7,525.1,23.48458333
2025/7/6 8:00,2025/7/6,8,525,0.993233333
2025/7/6 9:00,2025/7/6,9,798.2583333,7.132133333
2025/7/6 10:00,2025/7/6,10,788.1,4.912316667
2025/7/6 11:00,2025/7/6,11,800,4.529383333
2025/7/6 12:00,2025/7/6,12,799.9,26.94295
2025/7/6 13:00,2025/7/6,13,800,3.960966667
2025/7/6 14:00,2025/7/6,14,799.9,19.46976667
2025/7/6 15:00,2025/7/6,15,800,17.20806667
2025/7/6 16:00,2025/7/6,16,800,15.98746667
2025/7/6 17:00,2025/7/6,17,800,5.47475
2025/7/6 18:00,2025/7/6,18,527.9,0
2025/7/6 19:00,2025/7/6,19,525.3,5.684166667
2025/7/6 20:00,2025/7/6,20,526.8,0
2025/7/6 21:00,2025/7/6,21,526.7,0
2025/7/6 22:00,2025/7/6,22,800,0
2025/7/6 23:00,2025/7/6,23,800,0
2025/7/7 0:00,2025/7/7,0,800,0
2025/7/7 1:00,2025/7/7,1,788.5416667,0
2025/7/7 2:00,2025/7/7,2,787.7,0
2025/7/7 3:00,2025/7/7,3,795.0916667,16.55588333
2025/7/7 4:00,2025/7/7,4,516.1833333,29.59356667
2025/7/7 5:00,2025/7/7,5,525,14.17451667
2025/7/7 6:00,2025/7/7,6,525.1,11.58373333
2025/7/7 7:00,2025/7/7,7,525.1,7.3954
2025/7/7 8:00,2025/7/7,8,525,17.46535
2025/7/7 9:00,2025/7/7,9,800.1,12.92998333
2025/7/7 10:00,2025/7/7,10,800,10.8418
2025/7/7 11:00,2025/7/7,11,800,8.975
2025/7/7 12:00,2025/7/7,12,800,11.6316
2025/7/7 13:00,2025/7/7,13,810.4,19.32018333
2025/7/7 14:00,2025/7/7,14,800,13.63003333
2025/7/7 15:00,2025/7/7,15,797.5833333,15.24553333
2025/7/7 16:00,2025/7/7,16,803.9833333,6.509866667
2025/7/7 17:00,2025/7/7,17,806.4583333,6.097016667
2025/7/7 18:00,2025/7/7,18,525,7.874066667
2025/7/7 19:00,2025/7/7,19,525,0
2025/7/7 20:00,2025/7/7,20,524.925,0
2025/7/7 21:00,2025/7/7,21,524.5,0
2025/7/7 22:00,2025/7/7,22,799.9,0
2025/7/7 23:00,2025/7/7,23,800,0
2025/7/8 0:00,2025/7/8,0,800,0
2025/7/8 1:00,2025/7/8,1,800,0
2025/7/8 2:00,2025/7/8,2,800,8.304866667
2025/7/8 3:00,2025/7/8,3,765.6083333,0.885533333
